City,Country,Latitude,Longitude,Date,Wind_Speed,Pressure,Humidity,Temperature,Cloudiness
Constitución,CL,-35.3333,-72.4167,1650427898.0,6.82,1020.0,97.0,55.92,100.0
Lavrentiya,RU,65.5833,-171.0,1650427900.0,3.31,1010.0,80.0,27.97,0.0
Departamento de Maldonado,UY,-34.6667,-54.9167,1650427901.0,6.98,1018.0,89.0,64.22,73.0
Ascension,US,30.2169,-90.9001,1650427903.0,0.0,1021.0,76.0,61.09,0.0
Mahébourg,MU,-20.4081,57.7,1650427739.0,11.5,1015.0,89.0,82.26,75.0
San Quintín,MX,30.4833,-115.95,1650427905.0,15.48,1014.0,82.0,60.64,10.0
Jiujiang,CN,29.7333,115.9833,1650427906.0,6.11,1014.0,44.0,76.17,17.0
Poum,NC,-20.2333,164.0167,1650427908.0,8.34,1012.0,79.0,78.39,24.0
Leningradskiy,RU,69.3833,178.4167,1650427909.0,6.78,1011.0,91.0,26.62,96.0
Lata,PT,40.1629,-8.3327,1650427911.0,6.58,1015.0,80.0,45.07,17.0
Wau,SS,7.7029,27.9953,1650427912.0,3.4,1007.0,78.0,74.44,99.0
Pueblo Nuevo,MX,23.3833,-105.3833,1650427914.0,3.31,1018.0,70.0,53.44,0.0
Andros Town,BS,24.7,-77.7667,1650427813.0,20.67,1019.0,70.0,75.16,0.0
Isabela,PH,6.7085,121.9711,1650427916.0,5.35,1009.0,75.0,84.4,99.0
Muroto-misakicho,JP,33.2833,134.15,1650427918.0,11.74,1018.0,63.0,65.01,43.0
Green Valley,US,31.8543,-110.9937,1650427919.0,8.66,1010.0,12.0,82.78,87.0
Bendigo,AU,-36.7667,144.2833,1650427896.0,5.01,1018.0,76.0,62.64,93.0
Campbell River,CA,50.0163,-125.2446,1650427729.0,2.82,1010.0,87.0,44.46,14.0
Aswān,EG,24.0934,32.907,1650427923.0,16.8,1012.0,25.0,71.51,0.0
Ukhta,RU,63.5671,53.6835,1650427924.0,8.19,1019.0,98.0,33.42,100.0
Mandalgovi,MN,45.7625,106.2708,1650427925.0,23.89,992.0,45.0,49.84,78.0
Burgos,ES,42.3394,-3.7079,1650427927.0,14.97,1009.0,93.0,37.81,75.0
Torbay,CA,47.6666,-52.7314,1650427729.0,7.0,1037.0,84.0,29.57,100.0
Inhambane,MZ,-23.865,35.3833,1650427866.0,10.94,1018.0,91.0,72.7,97.0
Korla,CN,41.7597,86.1469,1650427931.0,8.16,1004.0,21.0,75.33,19.0
Conceição do Araguaia,BR,-8.2578,-49.2647,1650427932.0,1.77,1011.0,95.0,74.32,100.0
Les Cayes,HT,18.2,-73.75,1650427933.0,4.07,1015.0,86.0,74.7,27.0
Jiquipilas,MX,16.6667,-93.65,1650427935.0,3.91,1016.0,83.0,72.82,4.0
Piranshahr,IR,36.701,45.1413,1650427936.0,6.06,1013.0,43.0,61.18,4.0
kuche,,,,,,,,,
Superior,US,46.7208,-92.1041,1650427927.0,9.22,1020.0,59.0,36.48,100.0
Duchcov,CZ,50.6038,13.7462,1650427940.0,1.59,1018.0,78.0,37.09,28.0
Kungurtug,RU,50.5994,97.5228,1650427941.0,8.59,1016.0,52.0,33.24,100.0
Albenga,IT,44.0529,8.216,1650427943.0,5.01,1009.0,81.0,60.87,99.0
Alubijid,PH,8.5733,124.4736,1650427944.0,7.45,1009.0,83.0,82.89,100.0
Turbat,PK,26.0023,63.044,1650427945.0,1.39,1011.0,50.0,83.89,1.0
Saquisilí,EC,-0.8333,-78.6667,1650427947.0,1.86,706.0,95.0,51.51,99.0
Port Antonio,JM,18.18,-76.4612,1650427949.0,4.92,1015.0,87.0,73.99,72.0
Kurinjippādi,IN,11.5667,79.6,1650427950.0,6.96,1010.0,60.0,88.99,2.0
Catalão,BR,-18.1658,-47.9464,1650427951.0,4.81,1015.0,61.0,66.56,85.0
Havre-St-Pierre,CA,50.2334,-63.5986,1650427953.0,26.46,1012.0,100.0,32.36,100.0
Andenes,NO,69.3143,16.1194,1650427954.0,9.22,1022.0,93.0,37.38,0.0
Augusto Corrêa,BR,-1.0217,-46.635,1650427921.0,2.01,1010.0,92.0,75.27,100.0
Barra de Tecoanapa,MX,16.5167,-98.75,1650427957.0,4.59,1014.0,68.0,80.08,18.0
Vila Franca do Campo,PT,37.7167,-25.4333,1650427958.0,6.82,1031.0,68.0,60.19,68.0
Bathsheba,BB,13.2167,-59.5167,1650427946.0,17.27,1014.0,83.0,77.61,75.0
The Pas,CA,53.8251,-101.2541,1650427961.0,11.25,1012.0,93.0,29.75,100.0
Tefé,BR,-3.3542,-64.7114,1650427963.0,1.68,1012.0,99.0,73.51,100.0
Kharan,PK,28.5833,65.4167,1650427964.0,10.56,1013.0,15.0,78.94,1.0
Pangody,RU,65.85,74.4859,1650427965.0,16.93,1001.0,93.0,28.35,100.0
Koumac,NC,-20.5667,164.2833,1650427967.0,7.54,1013.0,76.0,79.56,36.0
Poronaysk,RU,49.2167,143.1167,1650427968.0,15.79,997.0,60.0,53.65,21.0
Saint-Pierre,RE,-21.3393,55.4781,1650427969.0,2.3,1014.0,80.0,80.91,75.0
Ridgecrest,US,35.6225,-117.6709,1650427701.0,18.41,1003.0,33.0,66.06,75.0
Berbera,SO,10.4396,45.0143,1650427972.0,1.34,1011.0,79.0,81.97,14.0
Gilbués,BR,-9.8317,-45.3439,1650427973.0,3.62,1012.0,81.0,71.64,32.0
Kathmandu,NP,27.7167,85.3167,1650427818.0,2.3,1017.0,68.0,70.02,75.0
Miraflores,MX,19.2167,-98.8083,1650427976.0,2.13,1021.0,68.0,65.03,65.0
Virginia Beach,US,36.8529,-75.978,1650427523.0,11.5,1025.0,51.0,50.05,0.0
Punalūr,IN,9.0,76.9333,1650427978.0,3.06,1010.0,66.0,87.84,37.0
Iturama,BR,-19.7281,-50.1956,1650427811.0,5.75,1014.0,62.0,69.94,10.0
Ergani,TR,38.2653,39.7621,1650427981.0,2.89,1010.0,62.0,54.34,36.0
Arman',RU,59.7,150.1667,1650427982.0,3.33,1007.0,79.0,32.02,98.0
Lagoa,PT,39.05,-27.9833,1650427984.0,6.62,1031.0,66.0,58.77,100.0
Tumaco,CO,1.7986,-78.8156,1650427985.0,4.38,1014.0,83.0,77.09,100.0
Östersund,SE,63.1792,14.6357,1650427987.0,1.14,1024.0,87.0,36.05,0.0
Cherskiy,RU,68.75,161.3,1650427988.0,11.1,1006.0,85.0,31.86,34.0
Guánica,PR,17.9716,-66.908,1650427989.0,12.53,1015.0,88.0,78.98,99.0
Winneba,GH,5.3511,-0.6231,1650427991.0,6.49,1009.0,86.0,78.78,99.0
San Ramon,US,37.7799,-121.978,1650427818.0,8.05,1014.0,77.0,55.38,0.0
Meadow Lake,US,34.8014,-106.5436,1650427993.0,20.38,1008.0,9.0,69.85,67.0
Bowen,AU,-20.0167,148.2333,1650427995.0,16.84,1011.0,57.0,82.6,100.0
Krasnooktyabrskiy,RU,44.9328,38.3712,1650427996.0,4.97,1014.0,93.0,47.08,100.0
lolua,,,,,,,,,
Nauta,PE,-4.5061,-73.5757,1650427999.0,1.68,1012.0,99.0,71.92,48.0
rungata,,,,,,,,,
Mabay,PH,6.0577,124.4666,1650428001.0,4.0,1009.0,68.0,86.27,100.0
Marabba,SD,12.35,32.1833,1650428003.0,5.77,1006.0,48.0,86.31,56.0
Isangel,VU,-19.55,169.2667,1650428004.0,5.5,1012.0,74.0,82.76,13.0
Homer,US,59.6425,-151.5483,1650428005.0,4.61,1007.0,40.0,44.49,0.0
Lisala,CD,2.15,21.5167,1650428007.0,3.02,1010.0,99.0,70.83,100.0
Araouane,ML,18.9048,-3.5265,1650428008.0,8.14,1009.0,11.0,72.72,20.0
Saravan,AM,39.7196,45.6483,1650428010.0,3.89,1012.0,51.0,55.31,65.0
makung,,,,,,,,,
San Jerónimo,PE,-11.9472,-75.2829,1650428012.0,1.86,1020.0,78.0,50.49,83.0
Ciudad Guayana,VE,8.3533,-62.6528,1650428014.0,6.44,1013.0,77.0,76.28,89.0
Vanimo,PG,-2.6741,141.3028,1650428015.0,5.91,1007.0,72.0,84.79,57.0
barawe,,,,,,,,,
hihifo,,,,,,,,,
Esperance,AU,-33.8667,121.9,1650428019.0,6.4,1025.0,59.0,62.44,96.0
Teya,RU,60.3778,92.6267,1650428020.0,9.15,1009.0,73.0,26.04,100.0
wahran,,,,,,,,,
Amga,RU,60.8953,131.9608,1650427939.0,3.78,999.0,65.0,33.4,100.0
Carmo do Cajuru,BR,-20.1842,-44.7711,1650427866.0,2.95,1018.0,89.0,59.67,1.0
Plettenberg Bay,ZA,-34.0527,23.3716,1650428025.0,5.26,1016.0,53.0,64.54,1.0
Liverpool,GB,53.4106,-2.9779,1650427569.0,8.05,1019.0,84.0,44.82,16.0
Carbonia,IT,39.1672,8.5222,1650428027.0,8.01,1007.0,63.0,48.85,76.0
Harper,LR,4.375,-7.7169,1650427760.0,4.07,1010.0,84.0,79.2,74.0
Bryan,US,30.6744,-96.37,1650428030.0,11.5,1016.0,73.0,69.55,100.0
Yaan,NG,7.3833,8.5667,1650428031.0,4.81,1009.0,82.0,75.97,99.0
Sosnovo-Ozerskoye,RU,52.5249,111.5418,1650427935.0,17.52,1004.0,29.0,36.75,28.0
Aksarka,RU,66.5606,67.7975,1650428034.0,14.36,1007.0,79.0,24.12,77.0
Taixing,CN,32.1667,120.0136,1650428035.0,8.43,1015.0,45.0,73.2,60.0
Kenai,US,60.5544,-151.2583,1650428037.0,9.22,1006.0,42.0,46.02,0.0
Pierre,US,44.3683,-100.351,1650427356.0,27.47,995.0,52.0,62.91,98.0
Seymchan,RU,62.8833,152.4333,1650428039.0,6.93,1004.0,74.0,25.86,54.0
Caboolture,AU,-27.0833,152.95,1650428041.0,3.96,1013.0,44.0,87.06,0.0
banmo,,,,,,,,,
Walvis Bay,NA,-22.9575,14.5053,1650428043.0,14.34,1010.0,25.0,79.52,3.0
Manokwari,ID,-0.8667,134.0833,1650428045.0,5.53,1008.0,68.0,84.76,57.0
Narsaq,GL,60.9167,-46.05,1650427843.0,5.39,1012.0,46.0,30.42,0.0
Haradok,BY,55.4624,29.9816,1650428047.0,14.18,1014.0,83.0,41.76,100.0
umm jarr,,,,,,,,,
Mersing,MY,2.4312,103.8405,1650428050.0,5.73,1011.0,77.0,82.78,100.0
Houston,US,29.7633,-95.3633,1650428051.0,14.97,1016.0,79.0,71.13,100.0
Tura,IN,25.5198,90.2201,1650427813.0,1.23,1012.0,66.0,79.5,97.0
Mossendjo,CG,-2.9506,12.7261,1650428054.0,3.44,1011.0,100.0,69.76,100.0
Pachino,IT,36.7186,15.0907,1650428055.0,5.1,1014.0,81.0,55.18,5.0
warqla,,,,,,,,,
Whyalla,AU,-33.0333,137.5833,1650428058.0,8.05,1021.0,77.0,66.09,100.0
Wodonga,AU,-36.1167,146.8833,1650428059.0,11.5,1017.0,83.0,65.97,40.0
Vila Velha,BR,-20.3297,-40.2925,1650428061.0,3.44,1016.0,88.0,69.75,0.0
karkaralinsk,,,,,,,,,
Hueytown,US,33.4512,-86.9967,1650428063.0,4.61,1024.0,76.0,51.04,0.0
Sainte-Marie,RE,-20.8968,55.5496,1650428065.0,5.75,1014.0,80.0,81.41,0.0
Denpasar,ID,-8.65,115.2167,1650428004.0,8.05,1010.0,79.0,83.86,40.0
Morón,AR,-34.6534,-58.6198,1650428067.0,3.76,1016.0,94.0,65.95,100.0
Batemans Bay,AU,-35.7167,150.1833,1650428068.0,6.22,1013.0,60.0,70.11,18.0
Santa Maria,BR,-29.6842,-53.8069,1650428070.0,4.65,1018.0,87.0,60.44,40.0
kegayli,,,,,,,,,
Mil'kovo,RU,54.7167,158.6167,1650428072.0,1.86,1006.0,44.0,35.83,63.0
Asău,RO,46.4333,26.4,1650428074.0,3.53,1012.0,91.0,36.52,100.0
Doha,QA,25.2867,51.5333,1650427933.0,5.75,1011.0,64.0,75.18,0.0
Fethiye,TR,36.6217,29.1164,1650428076.0,3.67,1015.0,80.0,46.27,0.0
Adré,TD,13.4667,22.2,1650428078.0,7.18,1008.0,22.0,77.43,83.0
Tilichiki,RU,60.4667,166.1,1650428079.0,5.17,1008.0,80.0,25.77,50.0
Batagay-Alyta,RU,67.8006,130.4114,1650428080.0,4.12,996.0,86.0,25.9,99.0
nizhneyansk,,,,,,,,,
Sabha,LY,27.0377,14.4283,1650428083.0,17.22,1015.0,28.0,65.1,24.0
Kununurra,AU,-15.7667,128.7333,1650428084.0,11.5,1009.0,41.0,94.98,62.0
El Reno,US,35.5323,-97.955,1650428086.0,32.21,1011.0,67.0,59.29,100.0
Poyarkovo,RU,49.6,128.6833,1650428087.0,15.21,987.0,25.0,70.84,100.0
Penzance,GB,50.1186,-5.5371,1650428089.0,14.03,1018.0,85.0,49.12,51.0
Teluk Nibung,ID,3.001,99.8164,1650428090.0,6.62,1012.0,91.0,77.32,100.0
San Rafael,AR,-34.6177,-68.3301,1650428091.0,2.75,1011.0,67.0,59.43,9.0
scottsburgh,,,,,,,,,
Koutiala,ML,12.3917,-5.4642,1650428094.0,5.08,1009.0,29.0,83.88,60.0
Maniitsoq,GL,65.4167,-52.9,1650428095.0,5.61,1032.0,80.0,8.64,100.0
Nyurba,RU,63.2842,118.3319,1650428097.0,10.47,999.0,80.0,24.08,100.0
Necochea,AR,-38.5473,-58.7368,1650427803.0,9.6,1015.0,70.0,60.67,100.0
Ulaangom,MN,49.9811,92.0667,1650428099.0,8.95,1017.0,25.0,43.52,3.0
Sambava,MG,-14.2667,50.1667,1650428101.0,10.83,1011.0,81.0,78.04,76.0
Campbellton,CA,48.0075,-66.6727,1650428102.0,4.34,1001.0,100.0,36.93,100.0
Ostrovnoy,RU,68.0531,39.5131,1650428104.0,6.06,1030.0,73.0,31.03,100.0
Buraidah,SA,26.326,43.975,1650427815.0,13.2,1008.0,14.0,80.76,76.0
mys shmidta,,,,,,,,,
Kavaratti,IN,10.5669,72.642,1650428107.0,11.12,1011.0,70.0,84.79,21.0
Itacaré,BR,-14.2775,-38.9967,1650428109.0,8.75,1015.0,82.0,73.63,97.0
Trairi,BR,-3.2778,-39.2689,1650428110.0,4.85,1010.0,89.0,76.15,78.0
Vanavara,RU,60.34,102.2797,1650428112.0,11.83,1003.0,69.0,27.25,100.0
Russell,US,32.3502,-85.1999,1650428113.0,0.0,1023.0,91.0,51.4,0.0
Cockburn Town,TC,21.4612,-71.1419,1650428115.0,12.19,1015.0,80.0,79.0,75.0
Ballina,AU,-28.8667,153.5667,1650427849.0,6.6,1013.0,56.0,86.18,3.0
Maragogi,BR,-9.0122,-35.2225,1650428117.0,6.49,1012.0,87.0,76.71,14.0
Airai,TL,-8.9266,125.4092,1650428119.0,2.55,1010.0,47.0,76.28,85.0
Alihe,CN,50.5667,123.7167,1650428120.0,9.95,992.0,79.0,45.61,100.0
Katsuura,JP,35.1333,140.3,1650428121.0,10.56,1020.0,89.0,57.22,98.0
Cabo Rojo,PR,18.0866,-67.1457,1650428123.0,1.01,1013.0,84.0,78.73,100.0
Hadejia,NG,12.4498,10.0444,1650428124.0,2.24,1009.0,49.0,82.49,87.0
Hirara,JP,24.8,125.2833,1650428126.0,10.36,1016.0,60.0,76.86,40.0
Khandyga,RU,62.6667,135.6,1650428127.0,6.82,999.0,82.0,32.99,100.0
García,MX,25.8167,-100.5833,1650428128.0,9.22,1013.0,76.0,81.91,93.0
Barguzin,RU,53.6167,109.6167,1650428130.0,12.37,1010.0,52.0,33.33,67.0
Ajdabiya,LY,30.7554,20.2263,1650428131.0,6.78,1019.0,71.0,54.18,20.0
Ailigandí,PA,9.2333,-78.0167,1650428132.0,3.89,1014.0,86.0,77.13,100.0
afmadu,,,,,,,,,
Camaná,PE,-16.6228,-72.7111,1650428135.0,8.32,1017.0,82.0,67.91,81.0
Mattru,SL,7.6244,-11.8332,1650428136.0,2.57,1011.0,90.0,77.97,89.0
cagayan de tawi-tawi,,,,,,,,,
Prymors'k,UA,46.7348,36.3443,1650428139.0,10.16,1012.0,84.0,47.39,100.0
Yamada,JP,39.4667,141.95,1650428140.0,13.76,1019.0,50.0,55.11,0.0
Havøysund,NO,70.9963,24.6622,1650427979.0,7.4,1023.0,86.0,41.23,68.0
Takahata,JP,38.0025,140.1911,1650428143.0,1.7,1017.0,41.0,64.36,0.0
Touros,BR,-5.1989,-35.4608,1650428015.0,9.44,1011.0,82.0,78.12,28.0
Cortez,US,37.3489,-108.5859,1650428145.0,14.97,1009.0,15.0,63.36,0.0
Liku,ID,-0.7275,119.8922,1650428147.0,3.4,1010.0,63.0,86.5,100.0
Usinsk,RU,65.9939,57.5281,1650428148.0,15.84,1018.0,88.0,25.92,100.0
Tigil',RU,57.8,158.6667,1650428149.0,2.15,1009.0,78.0,28.27,40.0
Lakota,CI,5.8528,-5.6883,1650428151.0,2.51,1010.0,98.0,72.73,91.0
Mossamedes,AO,-15.1961,12.1522,1650427951.0,4.56,1010.0,80.0,74.1,100.0
Feldbach,AT,46.9531,15.8883,1650428153.0,3.56,1017.0,95.0,36.37,49.0
Hay River,CA,60.8156,-115.7999,1650428155.0,4.61,1019.0,73.0,19.38,20.0
Adeje,ES,28.1227,-16.726,1650427858.0,14.97,1016.0,64.0,63.48,20.0
Honningsvåg,NO,70.9821,25.9704,1650428157.0,3.44,1023.0,75.0,40.75,0.0
Gachsaran,IR,30.3586,50.7981,1650428159.0,0.0,1015.0,21.0,73.49,0.0
Tsimmerbude,RU,54.675,20.1347,1650428160.0,13.33,1013.0,74.0,48.25,100.0
Palmares do Sul,BR,-30.2578,-50.5097,1650428161.0,6.58,1019.0,90.0,63.43,1.0
Goderich,CA,43.7501,-81.7165,1650428163.0,12.66,1022.0,75.0,37.9,57.0
aflu,,,,,,,,,
umzimvubu,,,,,,,,,
Susanville,US,40.4163,-120.653,1650428006.0,10.0,1013.0,57.0,42.91,47.0
ambodifototra,,,,,,,,,
Kaeo,NZ,-35.1,173.7833,1650428169.0,10.98,1019.0,91.0,71.33,45.0
Northam,GB,51.0333,-4.2167,1650428170.0,7.34,1018.0,93.0,44.65,84.0
Iskateley,RU,67.6803,53.1512,1650428172.0,14.25,1023.0,83.0,19.36,21.0
Bagadó,CO,5.4116,-76.4152,1650428173.0,2.04,1015.0,97.0,71.64,100.0
Carutapera,BR,-1.195,-46.02,1650428175.0,3.74,1010.0,91.0,76.32,100.0
Acapulco de Juárez,MX,16.8634,-99.8901,1650428176.0,4.61,1013.0,78.0,80.42,20.0
Sakakah,SA,29.9697,40.2064,1650428177.0,12.06,1012.0,23.0,67.57,3.0
alotau,,,,,,,,,
Grojdibodu,RO,43.75,24.2667,1650428180.0,3.38,1014.0,65.0,31.01,82.0
Fes,MA,34.0372,-4.9998,1650428144.0,21.85,1015.0,66.0,52.05,75.0
Tila,MX,17.4,-92.4833,1650428183.0,1.97,1016.0,77.0,72.34,35.0
Alvorada,BR,-12.48,-49.1247,1650428184.0,3.22,1012.0,72.0,74.79,70.0
Sukhobezvodnoye,RU,57.0491,44.8891,1650428185.0,6.89,1021.0,79.0,37.0,5.0
Khasan,RU,42.4308,130.6434,1650428187.0,7.85,1007.0,69.0,53.83,33.0
Funadhoo,MV,6.15,73.2667,1650428188.0,10.22,1011.0,72.0,84.6,67.0
Kholodnyy,RU,62.7167,147.95,1650427940.0,6.26,1003.0,79.0,22.5,100.0
rolim de moura,,,,,,,,,
Kencong,ID,-8.2833,113.3667,1650428192.0,3.31,1010.0,83.0,80.19,100.0
karaul,,,,,,,,,
Riihimäki,FI,60.7377,24.7773,1650428195.0,3.53,1027.0,96.0,38.75,59.0
Tazovsky,RU,67.4667,78.7,1650428196.0,15.88,998.0,95.0,20.44,100.0
St. Pete Beach,US,27.7253,-82.7412,1650428197.0,18.41,1021.0,65.0,68.22,0.0
‘Āhuimanu,US,21.4447,-157.8378,1650428199.0,17.27,1022.0,70.0,78.51,40.0
Linxia Chengguanzhen,CN,35.6003,103.2064,1650428200.0,3.36,1008.0,11.0,61.5,1.0
Puerto Peñasco,MX,31.3167,-113.5333,1650428201.0,5.01,1008.0,73.0,68.92,34.0
Ola,RU,59.5833,151.2833,1650428204.0,1.3,1007.0,81.0,32.14,54.0
Honiara,SB,-9.4333,159.95,1650428205.0,5.06,1009.0,69.0,85.71,97.0
Taltal,CL,-25.4,-70.4833,1650428206.0,0.96,1018.0,85.0,60.55,44.0
Kotido,UG,2.9806,34.1331,1650428208.0,3.11,1012.0,84.0,68.2,95.0
Edson,CA,53.5835,-116.4356,1650428105.0,8.05,1007.0,93.0,28.51,100.0
Divnomorskoye,RU,44.5011,38.1353,1650428210.0,4.97,1014.0,97.0,49.3,100.0
Urucará,BR,-2.5364,-57.76,1650428212.0,0.69,1011.0,98.0,73.94,100.0
Ambovombe,MG,-25.1667,46.0833,1650428213.0,10.11,1015.0,90.0,73.89,14.0
Kazaki,RU,52.6248,38.2649,1650428215.0,11.86,1010.0,92.0,48.18,100.0
Iranshahr,IR,27.2025,60.6848,1650428216.0,4.61,1014.0,16.0,80.94,0.0
Paamiut,GL,61.994,-49.6678,1650428183.0,19.13,1026.0,70.0,14.77,4.0
Udgīr,IN,18.3833,77.1167,1650428219.0,12.39,1010.0,13.0,96.46,26.0
Tres Arroyos,AR,-38.3739,-60.2798,1650428220.0,7.92,1014.0,66.0,61.03,100.0
Hamilton,US,39.1834,-84.5333,1650428221.0,0.0,1024.0,78.0,42.22,0.0
Emerald,AU,-23.5333,148.1667,1650428223.0,9.86,1013.0,32.0,89.35,19.0
Eenhana,NA,-17.4667,16.3333,1650428224.0,8.12,1016.0,51.0,60.71,99.0
ngukurr,,,,,,,,,
São Sepé,BR,-30.1606,-53.5653,1650428227.0,4.41,1018.0,95.0,58.75,69.0
Port Augusta,AU,-32.5,137.7667,1650427942.0,5.68,1020.0,50.0,71.42,57.0
Malumfashi,NG,11.7853,7.6218,1650428229.0,6.13,1009.0,56.0,78.03,95.0
Chimbarongo,CL,-34.7,-71.05,1650428231.0,3.06,1019.0,78.0,58.08,100.0
Bonavista,CA,48.6499,-53.1147,1650428232.0,19.93,1038.0,80.0,30.34,100.0
Neuquén,AR,-38.9516,-68.0591,1650428184.0,11.5,1014.0,88.0,55.29,100.0
Bambous Virieux,MU,-20.3428,57.7575,1650428235.0,11.5,1015.0,89.0,82.22,75.0
Bayir,TR,37.2687,28.2167,1650428236.0,3.87,1017.0,91.0,37.92,4.0
Tadine,NC,-21.55,167.8833,1650428237.0,8.68,1013.0,78.0,78.6,46.0
Pacific Grove,US,36.6177,-121.9166,1650428239.0,3.44,1016.0,81.0,56.01,0.0
Burnie,AU,-41.0667,145.9167,1650428240.0,15.9,1011.0,52.0,64.92,30.0
Kandava,LV,57.0409,22.7747,1650428242.0,10.11,1019.0,89.0,39.34,9.0
artyk,,,,,,,,,
Miranda,CO,3.2499,-76.2281,1650428244.0,1.5,1020.0,94.0,64.17,100.0
Kahului,US,20.8947,-156.47,1650427954.0,14.97,1020.0,77.0,75.22,40.0
Champasak,LA,14.75,106.0,1650428247.0,3.29,1011.0,40.0,88.68,89.0
Sibolga,ID,1.7427,98.7792,1650428248.0,2.71,1013.0,82.0,80.6,100.0
College,US,64.8569,-147.8028,1650428250.0,3.44,1008.0,35.0,42.78,0.0
Raudeberg,NO,61.9875,5.1352,1650428251.0,2.66,1024.0,76.0,38.95,17.0
Olutanga,PH,7.3106,122.8464,1650428252.0,7.4,1009.0,74.0,83.23,100.0
Whitianga,NZ,-36.8333,175.7,1650428254.0,10.31,1022.0,93.0,66.76,53.0
Mosquera,CO,4.7059,-74.2302,1650428245.0,6.91,1029.0,94.0,53.69,100.0
Sibu,MY,2.3,111.8167,1650428256.0,3.44,1009.0,62.0,88.11,40.0
manzil jamil,,,,,,,,,
Solnechnyy,RU,50.7214,136.6319,1650428259.0,12.93,990.0,66.0,55.0,100.0
Höganäs,SE,56.1997,12.558,1650428261.0,1.99,1021.0,56.0,42.46,49.0
Kem',RU,64.9555,34.5793,1650428262.0,2.46,1030.0,96.0,33.64,99.0
Stornoway,GB,58.2093,-6.3865,1650428264.0,0.0,1020.0,100.0,35.56,20.0
Salalah,OM,17.0151,54.0924,1650428265.0,2.3,1012.0,74.0,80.69,20.0
Puerto Colombia,CO,10.9878,-74.9547,1650428266.0,7.54,1013.0,80.0,79.74,100.0
Launceston,AU,-41.45,147.1667,1650428268.0,21.85,1009.0,46.0,64.62,15.0
Solano,US,38.2333,-121.9511,1650428269.0,11.5,1015.0,74.0,55.98,0.0
Christchurch,NZ,-43.5333,172.6333,1650428100.0,11.5,1014.0,73.0,74.32,100.0
Aktau,KZ,43.65,51.2,1650428272.0,20.13,1011.0,38.0,64.98,79.0
Tabatinga,BR,-4.2525,-69.9381,1650428273.0,0.0,1011.0,94.0,75.29,75.0
mahaicony,,,,,,,,,
Behshahr,IR,36.6923,53.5526,1650428276.0,2.13,1010.0,36.0,60.75,3.0
Calabozo,VE,8.9242,-67.4293,1650428277.0,1.14,1010.0,52.0,84.38,52.0
Alekseyevsk,RU,57.8406,108.3492,1650428278.0,11.95,1006.0,76.0,32.02,100.0
Nanfeng,CN,23.7434,111.7959,1650428280.0,3.29,1017.0,72.0,71.58,98.0
Kamenka,RU,51.3223,42.7678,1650428281.0,8.14,1009.0,72.0,55.65,99.0
Agirish,RU,61.9247,63.0231,1650428282.0,10.83,1012.0,79.0,38.21,47.0
Mogok,MM,22.9167,96.5,1650428284.0,3.47,1011.0,31.0,85.68,7.0
armacao dos buzios,,,,,,,,,
Loíza,PR,18.4313,-65.8802,1650428286.0,10.36,1016.0,85.0,78.08,40.0
Luocheng,CN,29.3848,104.0286,1650428288.0,3.89,1013.0,47.0,71.89,0.0
Ewo,CG,-0.8725,14.8206,1650428289.0,3.58,1010.0,92.0,72.39,100.0
Verkhnyaya Inta,RU,65.9811,60.3094,1650428291.0,11.59,1016.0,83.0,24.46,89.0
Mariehamn,AX,60.0973,19.9348,1650428292.0,3.44,1025.0,100.0,31.86,0.0
Ørje,NO,59.4802,11.6602,1650428293.0,3.0,1025.0,77.0,40.35,9.0
Kulhudhuffushi,MV,6.6221,73.07,1650428295.0,9.55,1011.0,73.0,84.49,83.0
Fairlie,GB,55.756,-4.8556,1650428296.0,5.35,1019.0,90.0,39.11,7.0
Rocha,UY,-34.4833,-54.3333,1650428298.0,6.38,1018.0,95.0,58.33,90.0
Roald,NO,62.5833,6.1333,1650428299.0,4.61,1024.0,100.0,44.76,0.0
Inírida,CO,3.8653,-67.9239,1650428300.0,2.98,1012.0,97.0,73.56,100.0
Province of Vibo Valentia,IT,38.6996,16.1274,1650428302.0,3.31,1013.0,49.0,34.39,0.0
Praia,CV,14.9215,-23.5087,1650428303.0,10.36,1013.0,83.0,68.54,20.0
Berlevåg,NO,70.8578,29.0864,1650428305.0,11.01,1025.0,92.0,37.4,100.0
Jiexiu,CN,37.0244,111.9125,1650428306.0,13.78,1007.0,21.0,71.06,0.0
Martí,CU,22.9475,-80.9203,1650428307.0,14.18,1018.0,69.0,77.09,0.0
Yinzhu,CN,35.8786,119.9753,1650428309.0,15.95,1013.0,55.0,65.07,11.0
Muzhi,RU,65.3667,64.6667,1650428310.0,18.54,1010.0,78.0,28.9,33.0
Kobrinskoye,RU,59.4225,30.1239,1650428311.0,6.87,1025.0,87.0,40.32,92.0
Ahipara,NZ,-35.1667,173.1667,1650428313.0,11.99,1018.0,80.0,71.33,14.0
La Rioja,ES,42.25,-2.5,1650428314.0,8.05,1010.0,99.0,37.18,100.0
Mareeba,AU,-17.0,145.4333,1650428316.0,7.43,1010.0,69.0,84.43,77.0
Broken Hill,AU,-31.95,141.4333,1650428317.0,7.74,1020.0,40.0,67.71,0.0
Valdosta,US,30.8327,-83.2785,1650428299.0,0.0,1023.0,83.0,55.98,0.0
